ride_id,rideable_type,started_at,ended_at,start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,member_casual
BDF90625D521E468,electric_bike,2022-01-31 19:20:57.669,2022-02-01 20:20:52.602,W 4 St & 7 Ave S,,40.73401143,-74.00293877,,,member
FD44F8636970A78C,electric_bike,2022-01-31 07:43:00.550,2022-02-01 08:42:56.322,Graham Ave & Herbert St,,40.71929301,-73.94500379,,,member
B022636F62FDF4BB,classic_bike,2022-01-31 23:02:47.394,2022-02-02 00:02:28.679,2 Ave & E 96 St,,40.7839636,-73.9471673,,,member
D582F0C066150381,electric_bike,2022-01-31 07:36:25.646,2022-02-01 08:36:21.184,Engert Ave & McGuinness Blvd,,40.72158,-73.94546,,,member
FC609362E2C0A6A4,electric_bike,2022-01-31 07:59:12.111,2022-02-01 08:58:54.270,1 Ave & E 62 St,,40.7612274,-73.96094022,,,member
E08AE03F34620DEC,electric_bike,2022-01-31 09:27:28.334,2022-02-01 10:27:18.002,1 Ave & E 39 St,,40.74714,-73.97113,,,member
455A338F459CFFE3,classic_bike,2022-01-31 08:17:15.759,2022-02-01 09:17:03.931,Grand St & Greene St,,40.72170005235607,-74.00238141417502,,,member
5D5FB83C9CD5951D,electric_bike,2022-01-31 23:31:40.252,2022-02-01 00:23:21.100,W 50 St & 9 Ave,Bushwick Ave & Linden St,40.76360467795863,-73.98917958140373,40.69146,-73.92146,member
6B97CEC4F7BBD1FD,electric_bike,2022-01-31 23:36:33.782,2022-02-01 00:08:51.658,W 24 St & 7 Ave,W 24 St & 7 Ave,40.74487634,-73.99529885,40.74487634,-73.99529885,casual
3D3072A7E740D670,electric_bike,2022-01-31 23:38:58.094,2022-02-01 00:23:40.458,10 Ave & W 28 St,Lenox Ave & W 117 St,40.75066386,-74.00176802,40.8025566,-73.9490782,member
8BA68E33E8B73FD7,classic_bike,2022-01-31 23:53:57.802,2022-02-01 00:03:26.058,Carmine St & 6 Ave,E 3 St & 1 Ave,40.73038599,-74.00214988,40.72467721,-73.98783413,member
FD737341EE76B7F7,classic_bike,2022-01-31 23:43:04.376,2022-02-01 00:01:57.796,Underhill Ave & Lincoln Pl,Parade Pl & Crooke Ave,40.6740123,-73.9671457,40.651847,-73.965248,member
0F3D2291560E3B13,electric_bike,2022-01-31 23:32:20.560,2022-02-01 00:16:28.903,34 Ave & 38 St,Mercer St & Bleecker St,40.756913,-73.921631,40.72706363348306,-73.99662137031554,member
13D1834C21ECFB6D,electric_bike,2022-01-31 23:45:11.512,2022-02-01 00:07:25.981,E 4 St & 2 Ave,Fulton St & Broadway,40.7262807,-73.98978041,40.711066,-74.009447,member
65D3EC251819B5A9,classic_bike,2022-01-31 23:53:47.178,2022-02-01 00:00:55.394,N 6 St & Bedford Ave,Bedford Ave & S 9 St,40.71745169,-73.95850939,40.70853074,-73.96408963,casual
7C5E5FD8D8183382,electric_bike,2022-01-31 23:50:03.818,2022-02-01 00:12:51.613,W 70 St & Amsterdam Ave,2 Ave & E 99 St,40.77748046,-73.98288594,40.7862586,-73.94552579,member
A8D154A18D267E34,classic_bike,2022-01-31 23:59:32.435,2022-02-01 00:21:40.269,E 19 St & 3 Ave,W 50 St & 10 Ave,40.73624527,-73.98473765,40.76473420006519,-73.99194359779358,member
2CCF395AAD030B53,electric_bike,2022-01-31 23:03:06.543,2022-02-01 00:27:16.455,1 Ave & E 94 St,W 116 St & Amsterdam Ave,40.7817212,-73.94594,40.8067581,-73.9607082,member
84CC41FAFE7C6A54,electric_bike,2022-01-31 23:51:02.126,2022-02-01 00:09:09.083,St Nicholas Ave & W 150 St,Madison Ave & E 120 St,40.827212,-73.942722,40.80295,-73.942954,casual
88FA48194D590A5D,electric_bike,2022-01-31 23:54:57.165,2022-02-01 00:12:01.193,Beck St & Leggett Ave,E 174 St & Longfellow Ave,40.815077,-73.899939,40.836274,-73.884308,member
2A4D55DD03FC1C45,electric_bike,2022-01-31 23:57:14.529,2022-02-01 00:01:53.577,E 13 St & 2 Ave,E 20 St & FDR Drive,40.73153937464073,-73.9853024482727,40.73314259,-73.97573881,member
84CE0D46BCF95C91,electric_bike,2022-01-31 23:35:10.987,2022-02-01 00:03:23.559,Classon Ave & St Marks Ave,Market St & Cherry St,40.6765198,-73.9596082,40.71076228,-73.99400398,member
A4FF5FDF21068958,electric_bike,2022-01-31 13:13:54.062,2022-02-01 06:28:54.714,E 39 St & 2 Ave,E 39 St & 2 Ave,40.74803319428767,-73.973827958107,40.74803319428767,-73.973827958107,member
6A1CA4554FDC1691,electric_bike,2022-01-31 23:32:33.266,2022-02-01 00:04:22.193,Willoughby Ave & Hall St,Willoughby Ave & Hall St,40.69196035,-73.96536851,40.69196035,-73.96536851,member
4B0AB901EAC271DC,classic_bike,2022-01-20 15:53:38.300,2022-02-05 23:43:27.391,Delancey St & Eldridge St,E 2 St & Avenue B,40.719383,-73.991479,40.722174,-73.983688,casual
89A47D0F5B0FA9BF,electric_bike,2022-01-31 18:32:43.527,2022-02-01 13:55:41.695,W 4 St & 7 Ave S,W 4 St & 7 Ave S,40.73401143,-74.00293877,40.73401143,-74.00293877,member
6DD022505E3DE564,electric_bike,2022-01-31 23:57:49.354,2022-02-01 00:10:35.952,W 74 St & Columbus Ave,W 35 St & Dyer Ave,40.7785669,-73.97754961,40.754691750226016,-73.99740189313889,member
E77E1358FB639C76,electric_bike,2022-01-31 23:04:42.814,2022-02-01 00:12:51.810,Grand Army Plaza & Central Park S,E 58 St & 3 Ave,40.7643971,-73.97371465,40.76095756,-73.96724467,member
2798BF92C605F562,classic_bike,2022-01-31 23:49:14.973,2022-02-01 00:03:07.447,E 33 St & 1 Ave,E 11 St & 3 Ave,40.74322681432173,-73.97449783980846,40.73127,-73.98849,member
FE7CCE238CF32795,classic_bike,2022-01-31 18:42:22.343,2022-02-01 06:14:48.108,1 Ave & E 18 St,E 11 St & 3 Ave,40.73381219196632,-73.98054420948029,40.73127,-73.98849,casual
